Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z ,Gait Type
-0.0721741,-0.808577,2.48263,-0.068661,-0.45155,2.60666,-0.0898401,-0.165209,2.73189,-0.22665,-0.574305,2.88849,-0.24244,-0.682242,3.0056,-0.21716,-0.435372,2.81127,-0.231195,-0.17194,2.67318,-0.231195,-0.17194,2.67318,Normal
-0.0685858,-0.867676,2.33321,-0.0835999,-0.822002,2.46403,-0.0716534,-0.459603,2.58553,-0.0872841,-0.167819,2.68789,-0.211694,-0.575223,2.82939,-0.204144,-0.686284,2.94336,-0.211493,-0.438624,2.74841,-0.211493,-0.438624,2.74841,Normal
-0.227659,-0.171394,2.62452,-0.090881,-0.891005,2.36174,-0.0831605,-0.822494,2.46358,-0.0680958,-0.464786,2.55174,-0.0829965,-0.171073,2.63974,-0.203071,-0.573768,2.75698,-0.190725,-0.685854,2.86914,-0.190725,-0.685854,2.86914,Normal
-0.221019,-0.430794,2.68519,-0.223718,-0.16892,2.58743,-0.091061,-0.89103,2.3643,-0.0800253,-0.82568,2.45985,-0.0638308,-0.461433,2.51969,-0.079756,-0.167952,2.60275,-0.179708,-0.596863,2.67983,-0.179708,-0.596863,2.67983,Normal
-0.202598,-0.708697,2.7915,-0.222395,-0.441956,2.62229,-0.225346,-0.166937,2.5498,-0.0841853,-0.893467,2.36584,-0.0800455,-0.827679,2.4576,-0.0623983,-0.462665,2.49633,-0.0808134,-0.166485,2.56407,-0.0808134,-0.166485,2.56407,Normal
-0.166126,-0.613009,2.60422,-0.184469,-0.730246,2.70993,-0.222964,-0.455973,2.55529,-0.223449,-0.168467,2.51565,-0.0891048,-0.921481,2.36196,-0.0802692,-0.852606,2.44821,-0.0631922,-0.465611,2.47446,-0.0631922,-0.465611,2.47446,Normal
-0.0795222,-0.16741,2.52783,-0.183549,-0.618727,2.55031,-0.207588,-0.731428,2.66128,-0.213045,-0.46199,2.49536,-0.223811,-0.168608,2.48589,-0.031943,-0.878685,2.33008,-0.101672,-0.905602,2.42964,-0.101672,-0.905602,2.42964,Normal
-0.0744399,-0.467347,2.4572,-0.0807833,-0.169573,2.49471,-0.177978,-0.632983,2.46892,-0.200098,-0.751886,2.57211,-0.212866,-0.463822,2.43807,-0.219663,-0.16846,2.44757,-0.0709825,-0.881503,2.30907,-0.0709825,-0.881503,2.30907,Normal
-0.0781321,-0.836378,2.44084,-0.0790334,-0.466965,2.43619,-0.0758407,-0.170459,2.46014,-0.18962,-0.642094,2.38203,-0.211797,-0.769337,2.47117,-0.218171,-0.461675,2.38304,-0.215432,-0.16547,2.41699,-0.215432,-0.16547,2.41699,Normal
-0.0663761,-0.835227,2.31086,-0.0718599,-0.789564,2.44292,-0.0736091,-0.464902,2.41775,-0.0713197,-0.168344,2.42823,-0.182889,-0.642026,2.31425,-0.202085,-0.772674,2.39803,-0.216574,-0.459272,2.32978,-0.216574,-0.459272,2.32978,Normal
