Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
0.061804,-0.50307,3.72134,0.0632225,-0.626339,3.80279,0.0366209,-0.328178,3.69897,0.0464876,-0.0306548,3.6632,-0.131315,-0.513591,3.61684,-0.152061,-0.643251,3.67102,-0.112787,-0.340128,3.58487,-0.112787,-0.340128,3.58487,
-0.0914878,-0.0353849,3.65891,0.0258486,-0.495131,3.74408,-0.0117362,-0.598945,3.84897,0.0638494,-0.334019,3.69671,0.0461536,-0.0345394,3.65159,-0.119855,-0.518477,3.56496,-0.137058,-0.649831,3.61134,-0.137058,-0.649831,3.61134,
-0.108665,-0.337381,3.55446,-0.0910849,-0.0342696,3.64245,0.0462645,-0.496418,3.72743,0.0282355,-0.608387,3.82818,0.0585608,-0.325888,3.69121,0.0470884,-0.0341474,3.6319,-0.125428,-0.515052,3.55024,-0.125428,-0.515052,3.55024,
-0.144303,-0.646795,3.58775,-0.105896,-0.335266,3.5315,-0.087939,-0.0341617,3.63058,0.0513246,-0.504076,3.69938,0.040995,-0.626875,3.7813,0.0557179,-0.325116,3.68468,0.0507872,-0.0365552,3.62033,0.0507872,-0.0365552,3.62033,
-0.115332,-0.517875,3.49057,-0.141148,-0.648616,3.52821,-0.104277,-0.331722,3.50151,-0.0847705,-0.0342335,3.6161,0.0384269,-0.504708,3.6823,0.0129359,-0.630313,3.74958,0.0505418,-0.324065,3.67239,0.0505418,-0.324065,3.67239,
0.0538391,-0.0366411,3.60488,-0.109183,-0.51746,3.47235,-0.123873,-0.649981,3.5078,-0.112353,-0.330964,3.48186,-0.0811137,-0.0349007,3.59801,0.0428522,-0.50397,3.6724,0.0259036,-0.626122,3.7543,0.0259036,-0.626122,3.7543,
0.0467041,-0.323717,3.66022,0.0580244,-0.0377239,3.58953,-0.0980295,-0.515851,3.4371,-0.113058,-0.648161,3.47899,-0.114058,-0.328382,3.45716,-0.0784191,-0.0359739,3.58442,0.0350191,-0.498344,3.67715,0.0350191,-0.498344,3.67715,
0.0100338,-0.615108,3.7675,0.0509589,-0.324226,3.64989,0.0604773,-0.038567,3.57821,-0.0945752,-0.527806,3.41528,-0.146778,-0.641349,3.49462,-0.0987043,-0.330463,3.44069,-0.0768934,-0.0389432,3.57206,-0.0768934,-0.0389432,3.57206,
0.0341429,-0.51596,3.63622,-0.00193105,-0.609287,3.75498,0.0671317,-0.320454,3.6446,0.0623928,-0.040404,3.56194,-0.0898729,-0.518917,3.39316,-0.110511,-0.650408,3.43781,-0.10454,-0.330029,3.42148,-0.10454,-0.330029,3.42148,
-0.0744752,-0.0417284,3.55648,0.045062,-0.492988,3.66353,0.0219917,-0.611095,3.752,0.0647381,-0.318678,3.6381,0.0651448,-0.0433784,3.548,-0.0972,-0.521285,3.35261,-0.106964,-0.652929,3.36624,-0.106964,-0.652929,3.36624,
