Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.192627,-0.470459,3.10742,-0.226979,-0.38126,3.16532,-0.249453,-0.0676226,3.08719,-0.26244,0.254162,3.00439,-0.111084,-0.446533,3.125,-0.107861,-0.370481,3.17118,-0.116613,-0.0742082,2.9837,-0.119998,0.258789,3.02271,-0.119998,0.258789,3.02271,
-0.193457,0.259468,3.04887,-0.188103,-0.466478,3.09681,-0.219527,-0.386192,3.15774,-0.251696,-0.0760296,3.07709,-0.261897,0.251338,2.98057,-0.103882,-0.462646,3.03516,-0.0988221,-0.383684,3.07935,-0.114935,-0.0822289,2.94257,-0.114935,-0.0822289,2.94257,
-0.118992,0.256424,3.00046,-0.192692,0.25689,3.02596,-0.203735,-0.461599,3.101,-0.216396,-0.390568,3.15412,-0.25331,-0.0790355,3.06903,-0.262999,0.250471,2.96285,-0.0931743,-0.44362,2.88075,-0.106077,-0.401091,2.99337,-0.106077,-0.401091,2.99337,
-0.111265,-0.0956352,2.9097,-0.119449,0.254849,2.98085,-0.193506,0.255678,3.00727,-0.20641,-0.466848,3.10155,-0.216342,-0.394964,3.15142,-0.254716,-0.100712,3.05705,-0.26237,0.246367,2.93259,-0.0960693,-0.491211,2.81641,-0.0960693,-0.491211,2.81641,
-0.103333,-0.41358,2.90544,-0.11061,-0.0876298,2.8808,-0.119277,0.252034,2.94722,-0.193114,0.252185,2.97534,-0.205286,-0.464234,3.09771,-0.213755,-0.391903,3.14561,-0.254822,-0.106596,3.04929,-0.260451,0.241995,2.91312,-0.260451,0.241995,2.91312,
-0.10022,-0.484619,2.72949,-0.104663,-0.417169,2.82924,-0.112964,-0.0880497,2.86035,-0.117148,0.24971,2.93388,-0.191052,0.248891,2.95906,-0.206894,-0.474823,3.09014,-0.218128,-0.402852,3.13763,-0.261349,-0.0459035,2.99138,-0.261349,-0.0459035,2.99138,
-0.256205,0.235828,2.89372,-0.104504,-0.462745,2.66972,-0.102712,-0.389095,2.77459,-0.110944,-0.0828846,2.84274,-0.113248,0.245342,2.90914,-0.186939,0.243469,2.93692,-0.203674,-0.419234,3.00657,-0.215841,-0.376276,3.1191,-0.215841,-0.376276,3.1191,
-0.247798,-0.112516,3.01571,-0.250623,0.227989,2.8658,-0.108234,-0.478558,2.60261,-0.107866,-0.418606,2.71983,-0.108465,-0.0933976,2.82138,-0.108521,0.238535,2.88821,-0.181767,0.236112,2.91255,-0.20497,-0.500931,3.05583,-0.20497,-0.500931,3.05583,
-0.218251,-0.444989,3.13747,-0.250942,-0.114814,3.00056,-0.248719,0.220979,2.8429,-0.111006,-0.477394,2.59633,-0.109046,-0.415384,2.71158,-0.107563,-0.0955657,2.79404,-0.10772,0.230652,2.86417,-0.180412,0.228597,2.88894,-0.180412,0.228597,2.88894,
-0.209846,-0.481604,3.05566,-0.223535,-0.392157,3.10794,-0.255982,-0.0522134,2.92693,-0.250456,0.213545,2.81802,-0.112703,-0.48791,2.58641,-0.110575,-0.424302,2.70027,-0.104949,-0.120752,2.75748,-0.109566,0.221331,2.83398,-0.109566,0.221331,2.83398,
-0.18226,0.220192,2.86151,-0.210792,-0.480973,3.05906,-0.222939,-0.388539,3.10228,-0.257013,-0.0530876,2.91397,-0.250263,0.209264,2.79618,-0.114665,-0.505075,2.57181,-0.114268,-0.44222,2.68207,-0.105962,-0.122591,2.75074,-0.105962,-0.122591,2.75074,
-0.108557,0.215641,2.81101,-0.181679,0.215146,2.83901,-0.210619,-0.497177,3.04703,-0.216899,-0.431058,3.11282,-0.246733,-0.122381,2.92906,-0.247927,0.203754,2.7575,-0.118655,-0.518142,2.56805,-0.113113,-0.448948,2.67555,-0.113113,-0.448948,2.67555,
-0.104102,-0.132019,2.72515,-0.10742,0.210949,2.78087,-0.179975,0.210015,2.80477,-0.211252,-0.421573,2.94156,-0.220007,-0.378998,3.05395,-0.253626,-0.0617315,2.83903,-0.244734,0.203824,2.74125,-0.121299,-0.522795,2.56919,-0.121299,-0.522795,2.56919,
-0.112202,-0.450642,2.67285,-0.103554,-0.129222,2.71266,-0.103014,0.20974,2.75151,-0.176118,0.209535,2.78225,-0.214847,-0.512676,3.03503,-0.217489,-0.441813,3.08581,-0.238019,-0.136537,2.84917,-0.244111,0.204996,2.70288,-0.244111,0.204996,2.70288,
-0.121706,-0.526719,2.57095,-0.110085,-0.452265,2.66743,-0.106908,-0.125312,2.7003,-0.101867,0.210676,2.72466,-0.175204,0.210575,2.74919,-0.226169,-0.497009,3.01542,-0.221023,-0.424633,3.0481,-0.236196,-0.141618,2.79017,-0.236196,-0.141618,2.79017,
-0.24153,0.204393,2.67226,-0.118656,-0.518239,2.58068,-0.108707,-0.452943,2.66078,-0.108537,-0.11945,2.6824,-0.0984024,0.210122,2.68385,-0.172223,0.209999,2.71368,-0.216356,-0.442155,2.88484,-0.225113,-0.400343,2.99746,-0.225113,-0.400343,2.99746,
-0.234182,-0.133233,2.72376,-0.237779,0.205061,2.64317,-0.119941,-0.523656,2.57915,-0.109171,-0.454025,2.65707,-0.108853,-0.12903,2.66767,-0.0966892,0.207925,2.66071,-0.16951,0.209163,2.68742,-0.221766,-0.41085,2.80263,-0.221766,-0.41085,2.80263,
-0.227609,-0.368789,2.91544,-0.230457,-0.101314,2.64175,-0.235398,0.205701,2.61638,-0.121968,-0.524324,2.5813,-0.109113,-0.453281,2.6551,-0.11104,-0.131026,2.65405,-0.0948477,0.204564,2.62867,-0.167346,0.207974,2.65805,-0.167346,0.207974,2.65805,
-0.220802,-0.421599,2.74746,-0.228723,-0.379795,2.86016,-0.22895,-0.104389,2.59394,-0.23185,0.204099,2.59005,-0.122436,-0.517504,2.58463,-0.108998,-0.452961,2.65323,-0.114886,-0.136892,2.63518,-0.0912964,0.202865,2.60482,-0.0912964,0.202865,2.60482,
-0.163762,0.206271,2.63285,-0.232666,-0.484131,2.81055,-0.233108,-0.406178,2.82303,-0.227965,-0.113724,2.57372,-0.227144,0.203035,2.56653,-0.121116,-0.515057,2.58542,-0.108146,-0.446061,2.64941,-0.106607,-0.137699,2.62119,-0.106607,-0.137699,2.62119,
-0.0857247,0.201769,2.57745,-0.158597,0.205194,2.60747,-0.237671,-0.499512,2.72852,-0.235074,-0.427078,2.75966,-0.224804,-0.122027,2.52459,-0.221454,0.203134,2.54614,-0.125762,-0.513913,2.5919,-0.107981,-0.445928,2.64818,-0.107981,-0.445928,2.64818,
